species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Bulbophyllum cariniflorum;2844048;24.88;93.9;19.7282238006592;790.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Bulbophyllum coloratum;2844155;-1.15;132.4833;1.25005304813385;518.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Bulbophyllum dickasonii;2843539;21.2858;93.6673;3.25061988830566;1275.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Bulbophyllum humile;2843482;-9.75;148.4833;3.0;1120.0;{'ASIA-TROPICAL'};EXT;False;2061/2080
Bulbophyllum jaapii;2843864;4.8157;9.702233333333332;6.650588830312091;1547.0;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum lizae;2844005;0.25;6.59585;7.56086874008179;857.0;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum mediocre;2846265;0.2708;6.5462;7.3668532371521;1845.0;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum nigericum;2846222;7.3421666666666665;10.409716666666666;15.718505382537836;1276.8333333333333;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum pandanetorum;2844659;-1.8667;11.75;6.0;627.0;{'AFRICA'};EXT;True;2081/2100
Bulbophyllum porphyrostachys;2845605;5.704558333333334;6.874133333333333;12.380712906519568;406.5;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum quadrisetum;2843256;4.05;-52.7;0.799710392951965;103.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Bulbophyllum roraimense;2845567;-4.5333;-60.9833;3.72827363014221;45.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Bulbophyllum subligaculiferum;2842878;0.6167;10.35;1.52698397636414;702.0;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum teretifolium;2844892;4.488657142857143;10.1751;7.643442290169851;926.1428571428571;{'AFRICA'};EXT;False;2041/2060
Bulbophyllum vanum;2842876;1.32995;18.08715;10.021541953086837;464.0;{'AFRICA'};EXT;False;2041/2060
Campanulorchis pellipes;2815782;4.36;115.82;3.25011396408081;1318.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Catasetum merchae;2803931;5.53;-67.38;4.0;106.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Catasetum rivularium;2803761;-1.94165;-59.485;7.0;152.5;{'SOUTHERN AMERICA'};EXT;False;2081/2100
