level;speciesKey;lat;lon;HFP09;Elevation;continents;IUCNonly;broad;broad;broad;broad;broad;broad;broad;broad;broad;broad;detail;detail;detail;detail;detail;detail;detail;detail;detail;detail
Acampe rigida;2781933;22.490186842105263;107.11247894736842;16.861646858421533;453.3157894736842;{'ASIA-TEMPERATE', 'ASIA-TROPICAL'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;LC;EN;EN;LC;LC;LC;LC;LC;EN
Acanthophippium striatum;3657424;24.17274;121.47096000000002;9.791731452941887;623.0;{'ASIA-TEMPERATE'};False;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera adamantinensis;2840077;-17.11768;-43.199220000000004;4.261045193672182;1227.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;EN
Acianthera angustifolia;2839975;18.223280952380954;-76.71416190476191;14.622310161590573;843.6666666666666;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera angustisepala;2839686;15.47;-90.3786;33.0;1320.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera aphthosa;2839487;-22.889206666666666;-54.03906;12.780672661463424;628.4;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera auriculata;2840017;-22.165775862068966;-44.966544827586205;13.523138128477955;643.5862068965517;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera bidentula;2839719;-21.6703;-43.786875;23.483483791351322;652.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera binotii;2839680;-20.4728;-41.37045;6.99344062805176;899.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;EN;LC;LC;LC
Acianthera bragae;2840008;-25.541544444444444;-47.19531111111111;14.830361684163408;470.44444444444446;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
