level;speciesKey;lat;lon;HFP09;Elevation;continents;IUCNonly;broad;broad;broad;broad;broad;broad;broad;broad;broad;broad;detail;detail;detail;detail;detail;detail;detail;detail;detail;detail
Campylocentrum ecuadorense;2820841;-0.5499428571428572;-79.37704285714287;15.46469960893903;274.2857142857143;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum embreei;2820796;-3.46;-79.8;7.25005769729614;510.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum fasciola;2820880;2.0271387096774194;-70.8258193548387;13.0672908831461;421.48387096774195;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum gracile;2820896;-20.7167;-42.0167;26.7282238006592;588.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;LC
Campylocentrum grisebachii;2820889;-24.281048387096774;-54.61454193548387;16.08321424453489;997.2903225806451;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum hirtzii;2820903;-0.45;-78.7167;16.0;2366.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Campylocentrum hondurense;2820912;8.929175;-85.0409;3.8799952864646903;456.5;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum huebneri;2820919;2.269642857142857;-64.84641428571429;2.291576332811799;183.42857142857142;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;EN;EN;EN;EN;EN
Campylocentrum jamaicense;2820821;17.54409;-67.64944;19.438098001480107;308.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;CR
Campylocentrum lansbergii;2820826;6.875;-61.26665;0.0;395.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;CR;LC
Campylocentrum madisonii;2820918;0.05499999999999999;-79.25;9.5;1269.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum micranthum;2820810;10.177138775510203;-82.00709836734693;11.758232419366754;407.9714285714286;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum microphyllum;2820840;15.039333333333333;-92.06523333333332;12.950832525889078;1514.6666666666667;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum minutum;2820864;-11.832775;-67.04984999999999;4.254923865199085;171.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum neglectum;2820905;-22.86213653846154;-56.47774903846154;11.01773352519824;444.5673076923077;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum organense;2820914;-22.357;-42.7347;5.25132989883423;1902.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;EN
Campylocentrum ornithorrhynchum;2820792;-23.491020833333334;-45.130516666666665;11.664804110924399;653.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum pachyrrhizum;2820806;8.13250909090909;-68.82947272727273;10.625992941856385;209.45454545454547;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;EN;EN;EN
Campylocentrum panamense;2820835;9.26837777777778;-81.3848;8.387559562921522;554.4444444444445;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum parahybunense;2820844;-24.32962857142857;-46.2264;13.271594899041313;642.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum pauloense;2820838;-21.211027272727275;-44.69169090909091;9.969279636036266;761.9090909090909;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum pernambucense;2820859;-11.181333333333333;-37.71873333333334;23.11791968345642;278.3333333333333;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Campylocentrum poeppigii;2820854;10.710452173913042;-75.96875217391305;6.037624943515532;126.73913043478261;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum polystachyum;2820868;0.036819999999999985;-78.64;9.690278148651123;1659.6;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum pygmaeum;2820842;16.1413;-61.70623333333333;10.169152736663824;656.6666666666666;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum robustum;2820877;-20.20674285714286;-41.10232857142857;12.25626715024311;251.42857142857142;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum schiedei;2820897;15.736606976744184;-91.52656976744186;10.168755697649578;1255.3720930232557;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;EN;EN;LC;LC
Campylocentrum sellowii;2820789;-21.762246666666666;-44.75248;15.734056409200031;326.6;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;CR
Campylocentrum spannagelii;2820797;-21.06155;-42.70104285714286;12.142690522330147;1010.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum tenellum;2820860;9.537385714285715;-82.00054285714285;10.284348964691162;709.1428571428571;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum tyrridion;2820852;14.709676923076923;-85.21405384615385;11.816627355722279;86.84615384615384;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};True;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Campylocentrum ulei;6316319;-26.1925;-49.0478;10.0;559.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;EN;EN;LC;LC;LC;EN;EN;EN;EN;LC
Campylocentrum wawrae;2820848;-20.4719;-40.9176;3.25929522514343;926.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;EN;EN;EN;EN;LC;LC;LC;LC;LC;EN
Capanemia adelaidae;2847962;-26.37646666666667;-48.0539;6.750082174936931;1240.0;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Capanemia brachycion;2847955;-20.0;-59.0;15.0010890960693;101.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Capanemia carinata;2847959;-20.6;-42.3667;5.25006008148193;1073.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;LC;LC;LC;LC;EN;EN;EN;EN;LC
Capanemia gehrtii;2847966;-24.802183333333332;-48.57683333333333;14.01374411582947;612.3333333333334;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;CR
Capanemia micromera;2847948;-26.19513076923077;-53.455496153846155;13.753068616757023;682.3269230769231;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Capanemia superflua;2847967;-26.41917857142857;-52.15536071428572;16.280287180628097;682.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Capanemia theresae;2847976;-24.6992;-48.89405;23.34336376190185;986.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;EN
Cardiochilos williamsonii;2812604;-9.966666666666667;33.99;8.313929716746012;2017.3333333333333;{'AFRICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;EN;EN;EN;CR;CR
Catasetum alatum;2804061;-11.1675;-63.9167;1.0;212.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;EN;LC;LC;LC;LC;LC;LC;LC;LC;EN
Catasetum albovirens;2803794;-2.92715;-48.20355;3.00008177757263;69.0;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum arietinum;2804041;-4.8886;-43.475;4.36643981933594;107.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;LC;EN;EN;LC;LC;LC;LC;LC;EN;EN
Catasetum atratum;2803869;-25.2392;-47.040175;14.090152859687809;280.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum barbatum;2803901;-7.06278;-48.819632;11.187114849090577;463.92;{'SOUTHERN AMERICA'};True;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum bicolor;2803756;8.42985;-75.57275;12.392699480056766;257.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum blackii;2804103;-12.5833;-39.2667;6.32157707214355;127.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;EN;LC;LC;LC;LC;LC;LC;EN;EN;EN
Catasetum boyi;2804025;-9.34655;-56.7857;1.0;254.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;EN
Catasetum callosum;2803916;4.8333;-73.2667;11.6295480728149;825.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum cernuum;2803839;-22.6512;-45.04705;35.53574562072755;733.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum cochabambanum;2803762;-17.1019;-64.7908;5.72826719284058;224.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum collare;2804068;-0.30835;-75.755;1.665442943572995;218.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Catasetum complanatum;2803716;-11.1917;-61.8675;11.3537588119507;225.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;EN
Catasetum confusum;2803850;-10.5093;-47.3061;2.8641120195388803;621.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum costatum;2804050;0.8167;-66.1667;0.0;177.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;EN;EN;LC;LC;EN
Catasetum denticulatum;2803934;-11.1675;-61.8703;6.65945339202881;340.0;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;LC
Catasetum deusvandoi;6314472;-17.5369;-43.0239;14.0;746.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;EN;LC
Catasetum discolor;2804070;-4.449159701492538;-51.97159552238806;7.966711981527841;327.97014925373134;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum expansum;2803889;-0.35000000000000003;-79.02485;18.38782739639285;442.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum fimbriatum;2803797;-22.236083333333333;-55.09671904761905;11.890299104508896;332.85714285714283;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum galeritum;2803713;-9.0692;-57.0692;0.0;173.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;LC;LC;LC;LC;LC;LC;LC;EN
Catasetum gladiatorium;2803938;-15.991620000000001;-50.31694;10.67137794494629;724.2;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Catasetum gnomus;2803706;-7.025;-60.918350000000004;9.829726696014404;209.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;EN;EN
Catasetum hookeri;2803875;-13.779983333333334;-39.554249999999996;15.35899959670173;428.6666666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum hopkinsonianum;2803752;-9.608757142857144;-57.78915714285714;0.8571428571428571;239.71428571428572;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Catasetum incurvum;2803862;-5.1880500000000005;-78.9251;12.0;670.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum integerrimum;2803897;18.273011999999998;-92.27570742857142;12.342714677023332;335.60571428571427;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum interhomesianum;2803849;-10.25;-65.6833;1.78853058815002;155.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;EN;LC;LC;EN;EN
Catasetum juruenense;2803879;-10.63312380952381;-55.310871428571424;1.6191060656592957;274.23809523809524;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum kraenzlinianum;2804104;-9.351666666666667;-56.780100000000004;0.6666666666666666;240.66666666666666;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;EN;EN;EN
Catasetum laminatum;2804035;16.406100000000002;-97.3806;7.9052574464252965;838.7857142857143;{'NORTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum longifolium;2803786;-10.9639;-55.5903;2.0;266.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;LC;LC;LC;EN;EN;VU;LC;LC;LC;LC
Catasetum lucis;2803854;7.0716;-73.1756;34.0001678466797;699.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Catasetum luridum;2804004;-13.054603571428572;-39.836328571428574;17.329715447766432;421.89285714285717;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum macrocarpum;2804049;-4.95555;-51.911185294117644;8.271098951498663;205.6764705882353;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum macroglossum;2804101;-1.6638833333333334;-79.33611666666667;10.485355377197266;731.3333333333334;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum maculatum;2803739;10.612802564102564;-84.28089487179487;14.172191118582692;317.7435897435897;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum maranhense;2803773;-4.84385;-46.21195;5.0;189.5;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Catasetum matogrossense;2803788;-11.78585;-55.61405;5.89985513687135;322.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum mattosianum;2803815;-19.843675;-40.205225;17.3740966320038;115.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum merchae;2803931;5.53;-67.38;4.0;106.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;EXT;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;EN;EN;CR;EN;EXT;LC;LC;LC;EN;EN
Catasetum microglossum;2803884;-3.833;-78.04165;3.6454342603683463;1134.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;LC;LC;LC;LC;LC;LC;EN;EN;EN
Catasetum multifidum;2803833;-9.344525;-56.7898;1.0;243.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;EN;LC;LC;LC;LC;LC;LC;LC;EN;EN
Catasetum napoense;2804067;-2.78;-77.6;6.25001239776611;220.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;EN;EN;EN;EN;EN
Catasetum ochraceum;2803865;3.068016666666667;-75.518;14.862209637959795;1006.6666666666666;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum osculatum;2803720;-13.372608;-56.143832;6.933170204162601;321.64;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum palmeirinhense;2804108;-4.9133;-43.1172;5.31868362426758;91.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Catasetum parguazense;2803942;-11.1675;-61.8703;6.65945339202881;340.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;EN;LC;EN;LC;LC;LC;LC;LC
Catasetum pendulum;2803911;21.442657142857144;-104.85047142857142;8.176885707037789;449.57142857142856;{'NORTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
